country,region,population,article_title,revision_id,article_quality
Afghanistan,SOUTH ASIA,42.4,Majah Ha Adrif,1233202991,Start
Afghanistan,SOUTH ASIA,42.4,Haroon al-Afghani,1230459615,B
Afghanistan,SOUTH ASIA,42.4,Tayyab Agha,1225661708,Start
Afghanistan,SOUTH ASIA,42.4,Khadija Zahra Ahmadi,1234741562,Stub
Afghanistan,SOUTH ASIA,42.4,Aziza Ahmadyar,1195651393,Start
Afghanistan,SOUTH ASIA,42.4,Muqadasa Ahmadzai,1235521766,Start
Afghanistan,SOUTH ASIA,42.4,Mohammad Sarwar Ahmedzai,1176429234,Start
Afghanistan,SOUTH ASIA,42.4,Amir Muhammad Akhundzada,1247931713,Start
Afghanistan,SOUTH ASIA,42.4,Nasrullah Baryalai Arsalai,1225385278,Start
Afghanistan,SOUTH ASIA,42.4,Abdul Rahim Ayoubi,1226326055,Start
Afghanistan,SOUTH ASIA,42.4,Ismael Balkhi,1244521219,Start
Afghanistan,SOUTH ASIA,42.4,Abdul Baqi Turkistani,1231655023,Stub
Afghanistan,SOUTH ASIA,42.4,Mohammad Ghous Bashiri,1237694188,Start
Afghanistan,SOUTH ASIA,42.4,Jan Baz,1227635806,Stub
Afghanistan,SOUTH ASIA,42.4,Bashir Ahmad Bezan,1248505877,Start
Afghanistan,SOUTH ASIA,42.4,Rafiullah Bidar,1197443408,Stub
Afghanistan,SOUTH ASIA,42.4,Mohammad Siddiq Chakari,1134129082,Stub
Afghanistan,SOUTH ASIA,42.4,Cheragh Ali Cheragh,1193992206,Start
Afghanistan,SOUTH ASIA,42.4,Nasir Ahmad Durrani,988838315,Stub
Afghanistan,SOUTH ASIA,42.4,Muhammad Hashim Esmatullahi,949986748,Stub
Afghanistan,SOUTH ASIA,42.4,Ezatullah (Nangarhar),1158302291,Stub
Afghanistan,SOUTH ASIA,42.4,Aimal Faizi,1185105938,Stub
Afghanistan,SOUTH ASIA,42.4,Gajinder Singh Safri,1212323536,Stub
Afghanistan,SOUTH ASIA,42.4,Sharif Ghalib,1245967190,Start
Afghanistan,SOUTH ASIA,42.4,Hashmat Ghani Ahmadzai,1207743719,C
Afghanistan,SOUTH ASIA,42.4,Abdul Ghani Ghani,1227026187,Stub
Afghanistan,SOUTH ASIA,42.4,Ghulam Ghaus,1158659195,Stub
Afghanistan,SOUTH ASIA,42.4,Ghulam Muhammad Ghobar,1240993642,Stub
Afghanistan,SOUTH ASIA,42.4,Mohammad Gul (Helmand Council),1136611354,Stub
Afghanistan,SOUTH ASIA,42.4,Sayed Yousuf Halim,1234514565,Stub
Afghanistan,SOUTH ASIA,42.4,Rangina Hamidi,1234743111,C
Afghanistan,SOUTH ASIA,42.4,Sayed Zafar Hashemi,1179137138,Start
Afghanistan,SOUTH ASIA,42.4,Qutbuddin Hilal,1246566795,Start
Afghanistan,SOUTH ASIA,42.4,Mahboba Hoqomal,1243745950,Stub
Afghanistan,SOUTH ASIA,42.4,Musa Hotak,1246566804,Start
Afghanistan,SOUTH ASIA,42.4,Mirza Muhammad Ismail,1235165845,C
Afghanistan,SOUTH ASIA,42.4,Sayed Jalal,1137130537,Start
Afghanistan,SOUTH ASIA,42.4,Said Tayeb Jawad,1248976824,C
Afghanistan,SOUTH ASIA,42.4,Sayed Jalal Karim,1136614743,Start
Afghanistan,SOUTH ASIA,42.4,Hafizullah Shabaz Khail,1238402857,Start
Afghanistan,SOUTH ASIA,42.4,Masoud Khalili,1246566971,GA
Afghanistan,SOUTH ASIA,42.4,Mohammad Khan (athlete),1247727443,Stub
Afghanistan,SOUTH ASIA,42.4,Samoud Khan,1195409073,Start
Afghanistan,SOUTH ASIA,42.4,Baran Khan Kudezai,1176481824,Start
Afghanistan,SOUTH ASIA,42.4,Azizullah Lodin,1247762293,Start
Afghanistan,SOUTH ASIA,42.4,Razaq Mamoon,1227180106,Start
Afghanistan,SOUTH ASIA,42.4,Fazel Ahmed Manawi,1234514379,Start
Afghanistan,SOUTH ASIA,42.4,Moeen Marastial,1246567093,Start
Afghanistan,SOUTH ASIA,42.4,Ahmad Wali Massoud,1221720658,Start
Afghanistan,SOUTH ASIA,42.4,Mohammad Daud Miraki,1227103354,C
Afghanistan,SOUTH ASIA,42.4,Abdul Sattar Mirzakwal,1145249317,Stub
